id,url,landmark_id
ee015aa494477de9,https://upload.wikimedia.org/wikipedia/commons/a/ab/Varanasi%2CNepali_temple_-_panoramio.jpg,162628
ffd546ce671c9478,https://upload.wikimedia.org/wikipedia/commons/3/33/Nyatapola_Temple_01.JPG,122791
f579b957dddd502f,https://upload.wikimedia.org/wikipedia/commons/c/c9/Kali_Gandaki_Valley0331%2C_Muktinath.JPG,98003
a242d1c4d49e94ec,https://upload.wikimedia.org/wikipedia/commons/f/fe/Patan_Durbar_Square_Premises_%2817%29.jpg,4137
7cf9d605c83b1293,https://upload.wikimedia.org/wikipedia/commons/0/05/Patan_Kathmandu_Nepal_2012_%288636387184%29.jpg,4137
94e0c8aa424aca2b,https://upload.wikimedia.org/wikipedia/commons/b/bc/Zoo_Kathmandu_Nepal_%285086471278%29.jpg,154818
c62aa4e0003192b7,https://upload.wikimedia.org/wikipedia/commons/0/00/JANAKPUR_%283%29.JPG,79922
fbd97fcc82e6be54,https://upload.wikimedia.org/wikipedia/commons/6/6a/Ranipauwa-Muktinath%2C_Nepal-WLV-1113.jpg,98003
e340fccced754ef6,https://upload.wikimedia.org/wikipedia/commons/d/d2/G5A1223.jpg,122791
c0ec8323c294a208,https://upload.wikimedia.org/wikipedia/commons/3/33/Bisket_Jatra_festival_2018_at_the_Nyatapola_temple%2C_Bhaktapur.jpg,122791
ca6488bcbf8f6aab,https://upload.wikimedia.org/wikipedia/commons/e/e1/Muktinath_2.JPG,98003
e66d633f37fe401f,https://upload.wikimedia.org/wikipedia/commons/f/f7/Pashupatinath_-_Bagmati_River_%284802011545%29.jpg,152527
710691dc1cfcfde2,https://upload.wikimedia.org/wikipedia/commons/1/1f/Panch_Mukhi_Hanuman_Temple_%2817230529493%29.jpg,104744
b56b413fb8a5ec01,https://upload.wikimedia.org/wikipedia/commons/c/c0/Bhairavnath_Temple_at_Bhaktapur-_city_of_Devotees%2C_NEPAL_02.jpg,111434
ab3281c0b0e6d8ea,https://upload.wikimedia.org/wikipedia/commons/4/47/From_Muktinath.JPG,98003
d6ad994fb59e1fa5,https://upload.wikimedia.org/wikipedia/commons/7/75/Interior_View_of_Janaki_Temple%2C_Janakpur-September_22%2C_2016-IMG_7450.jpg,79922
b983750f00df5d8e,https://upload.wikimedia.org/wikipedia/commons/a/a3/45_Hanumandhoka_Palace_Area_%283%29.jpg,104744
